Battery ID,Discharge Energy at 80,energy efficiency at 80
B0005,5.650446860634341,85.87626223993826
B0006,5.618071425561079,83.97408052234985
B0007,5.720119396000083,85.98497307790109
B0018,5.668827694672043,85.45369143183191
B0025,5.8708328567275725,81.85978208923629
B0027,5.713274461114187,71.94493750684734
B0028,6.095682670139405,87.69325725706878
B0029,5.655199536491255,83.25684621562866
B0030,5.574701478863318,83.05886021154521
B0031,5.681394830351975,83.4534928961178
B0032,5.467189240890336,81.71815759767152
B0033,5.217007210772439,74.8581386974187
B0034,5.294354736478132,75.49537336995601
B0036,5.574427536320396,83.30195351535164
B0045,5.428756803364063,80.0101499792739
B0046,5.535768653620309,83.52222569089261
B0047,5.512606739863358,83.75502966727242
B0048,5.40240623098237,83.51502462347594
B0049,5.643093354731025,69.15767649925257
B0050,5.640093991861302,81.74697504499589
B0051,5.274595153325567,76.91901876053042
B0053,5.673243816389951,73.46823852141115
B0054,5.268730984043412,71.71968472626196
B0055,5.408181882385837,81.41065618513394
